SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccc(O)cc3)[C@H]2SC1,"62977",71,Done,4.41,-6.53773,"5edu_chain-A_Grid",-7.30133,-0.992091,-0.616587,-1.94579,-1.38386,-24.2406,-11.9579,0.642722,0,-49.9008,-36.1985,12.3214
C/C=C\C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccc(O)cc3)[C@H]2SC1,"62977",72,Done,5.27,-7.15506,"5edu_chain-A_Grid",-7.91866,-1.12432,-0.624848,-2.07367,-1.34446,-27.398,-13.4945,0.642722,0,-62.5198,-40.8925,12.2336
C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H]([N-]C(=O)[C@H]([NH3+])c3ccc(O)cc3)[C@H]2SC1,"62977",73,Done,4.96,-5.06155,"5edu_chain-A_Grid",-7.71205,-1.15801,-0.601599,-1.96437,-1.36284,-27.3034,-12.7051,0.645719,0,-57.4612,-40.0086,14.232
C/C=C\C1=C(C(=O)[O-])N2C(=O)[C@@H]([N-]C(=O)[C@H]([NH3+])c3ccc(O)cc3)[C@H]2SC1,"62977",74,Done,5.18,-5.02198,"5edu_chain-A_Grid",-7.67248,-1.1452,-0.633243,-1.83017,-1.33028,-28.2647,-13.1072,0.645719,0,-62.5031,-41.3719,9.58191
C/C=C/C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc([O-])cc3)[C@H]2SC1,"62977",75,Done,3.31,-1.46097,"5edu_chain-A_Grid",-4.23967,-1.10474,-0.342313,-0,-0.969509,-20.0114,-8.94355,0.518991,0,-43.7315,-28.955,6.60381
C/C=C\C1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc([O-])cc3)[C@H]2SC1,"62977",76,Done,3.17,-1.77007,"5edu_chain-A_Grid",-4.54877,-1.13037,-0.400988,-0,-0.975977,-20.5259,-10.2275,0.518991,-4.26298e-06,-46.1525,-30.7534,8.54945
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)[O-],"5481173",77,Done,6.69,-3.70152,"5edu_chain-A_Grid",-3.70162,-0.3556,-0.243266,-0,-0.373369,-28.8789,-11.8451,0.556496,-0.0651719,-53.1203,-40.724,4.39983
Cc1oc(=O)oc1COC(=O)N1CC[C@@H](N2CC/C(=C\C3=C(C(=O)[O-])N4C(=O)[C@@H](NC(=O)/C(=N\O)c5nsc(N)n5)[C@H]4SC3)C2=O)C1,"135413544",78,Done,8.58,-4.3727,"5edu_chain-A_Grid",-4.3987,-1.14248,-0.469096,-0,0.14081,-50.4958,-3.86042,0.324223,-0.148305,-59.9809,-54.3562,13.1051
Cn1c(N)c(NC(=O)NCC[NH3+])c[n+]1CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)[O-])c3nsc(N)n3)[C@H]2SC1,"53234134",80,Done,11.42,-6.40373,"5edu_chain-A_Grid",-6.43373,-0.529218,-0.825257,-0,0.0470116,-23.6833,-25.762,0.415381,-0.493191,-70.6223,-49.4452,17.5393
Cn1c(N)c(NC(=O)NCCN)c[n+]1CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)[O-])c3nsc(N)n3)[C@H]2SC1,"53234134",81,Done,12.12,-4.28527,"5edu_chain-A_Grid",-6.30027,-0.559826,-0.64404,-0,0.0573117,-30.2353,-24.2259,0.417527,-0.425583,-73.7664,-54.4612,13.8411
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,"19150",82,Done,4.08,-5.0698,"5edu_chain-A_Grid",-5.3583,-1.09424,-0.412759,-1.13798,-0.740694,-28.4208,-6.97244,0.600503,-0.106228,-49.8098,-35.3932,2.74557
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])c3ccccc3)[C@H]2SC1,"19150",83,Done,4.23,-5.19356,"5edu_chain-A_Grid",-5.79896,-0.922442,-0.554697,-0.923029,-0.775957,-23.1507,-12.7012,0.597815,-0.157943,-52.484,-35.8518,4.49026
CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H]([N-]C(=O)[C@H]([NH3+])c3ccccc3)[C@H]2SC1,"19150",84,Done,4.37,-3.07177,"5edu_chain-A_Grid",-5.27097,-1.04254,-0.418197,-1.13813,-0.735028,-28.3152,-6.77493,0.600503,-0.105576,-51.107,-35.0902,2.8064
CC(C)/[NH+]=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,"2794",86,Done,2.69,-4.97147,"5edu_chain-A_Grid",-4.98387,-1.75384,-0.097879,-0,-0.382853,-30.816,-10.049,0.359634,-0.0607774,-50.2731,-40.8651,7.66495
